file_name,height,width,category_id,category_name,category_chinese_name
1763_JPG.rf.3cb6f88c9a140feeb0425d1a5fa3ddcc.jpg,3024,4032,4,tDD11,枝枯病
3147_JPG.rf.383764b09b12f792657e2545bf980be0.jpg,3024,4032,8,tDM04,茶髮狀病
2762_JPG.rf.f2c26195dad62681dfd71844900eb186.jpg,3024,4032,3,tDC08,藻斑病
3287_JPG.rf.ecbe7237f262a0ab52cb8258cdd732b6.jpg,3024,4032,8,tDM04,茶髮狀病
1841_JPG.rf.b07e2494953b4a54c1874afde2c7bcb7.jpg,1365,2048,10,tDP06,輪班病
24361_JPG.rf.8671a69863ee08499e554b6a4f97ec5b.jpg,3468,4624,5,tDE02,網餅病
33594_JPG.rf.dea315232f859289fd84de41aa9142a4.jpg,3024,4032,10,tDP06,輪班病
3787_JPG.rf.98ccc7a50ecf4dc9dcb1d0fe06fad3b9.jpg,3480,4640,3,tDC08,藻斑病
3439_JPG.rf.3e5a4a368e84afe5e40daef1c9635c78.jpg,3024,4032,6,tDE03,茶餅病
2401_JPG.rf.bdf08228bdb3600b2ced8bb1a5796c5e.jpg,3120,3120,3,tDC08,藻斑病
2691_JPG.rf.5b91e9e6096e6025b764736348c9bc42.jpg,3120,3120,11,tDS07,煤煙病
1929_JPG.rf.e7c6a296a7dc1ea95458c46428273287.jpg,1365,2048,3,tDC08,藻斑病
3566_JPG.rf.cafe4e4eae19da33c2e518fb0246ae55.jpg,4032,3024,6,tDE03,茶餅病
2020_JPG.rf.0393633369dce3619e3d31132706b960.jpg,3120,3120,7,tDL09,地衣
2614_JPG.rf.a72bc466b2c270413cde94f95d87d751.jpg,4032,3024,11,tDS07,煤煙病
2916_JPG.rf.6206f6ff577a2b1e78c96a84582c583a.jpg,3024,4032,3,tDC08,藻斑病
5323_JPG.rf.4e0c42640cc69bdc7a7918130c59ac43.jpg,3120,3120,8,tDM04,茶髮狀病
5370_JPG.rf.56d335f3a523ca6b70397c3e64d602d4.jpg,4032,3024,8,tDM04,茶髮狀病
3499_JPG.rf.594148c7d3c023eaa0675b715022ae40.jpg,4032,3024,6,tDE03,茶餅病
24950_JPG.rf.a3ad4df050b06fd0bac4266b5212e2e0.jpg,3024,4032,7,tDL09,地衣
25010_JPG.rf.3dd0cf080fee0353397241b3addb8c61.jpg,3024,3024,7,tDL09,地衣
3947_JPG.rf.7153d38a5b58073e4a7d6a4872c6e2da.jpg,3480,4640,3,tDC08,藻斑病
1853_JPG.rf.b773afde8d18defcb060e39a1284f01e.jpg,1478,1108,10,tDP06,輪班病
3206_JPG.rf.16c90f9bd79ec04c6c7c9ee21056626e.jpg,3024,4032,8,tDM04,茶髮狀病
3579_JPG.rf.15988c65c2057b740c3b1b7dba7e7eb3.jpg,3024,4032,6,tDE03,茶餅病
24425_JPG.rf.bc9924e3158abeaf44c3897d3d74744b.jpg,3468,4624,5,tDE02,網餅病
24622_JPG.rf.af53e5f07a82e7f2821e1687dcd49997.jpg,3024,4032,7,tDL09,地衣
25012_JPG.rf.9d2d45fe37b43998bef95c9cdbc741a4.jpg,3024,3024,7,tDL09,地衣
7609_JPG.rf.37bfb66bc53a693e4c20c7fd3cb4d602.jpg,3024,4032,6,tDE03,茶餅病
25004_JPG.rf.f8173e9e72e9ebe4ebada13966a4f8b3.jpg,3024,3024,7,tDL09,地衣
22361_JPG.rf.32ee75fc306b4e584b928ce0c7d8531c.jpg,3024,4032,10,tDP06,輪班病
5174_JPG.rf.c85910aeb0bf189c8c3a960b63260e54.jpg,3120,3120,8,tDM04,茶髮狀病
22434_JPG.rf.405cbcb94adb1e0bdfec79f75c6cd093.jpg,3024,4032,10,tDP06,輪班病
33664_JPG.rf.53de4602a5050334ac2514611dbcdd72.jpg,3024,4032,11,tDS07,煤煙病
22453_JPG.rf.6ebdc65f779ab9fc307a527160942e61.jpg,3024,4032,10,tDP06,輪班病
2588_JPG.rf.4534f49f16f28ffc6b823dd9b78793a8.jpg,3024,4032,3,tDC08,藻斑病
5361_JPG.rf.454693744301db184129973b2654003a.jpg,3024,4032,8,tDM04,茶髮狀病
7372_JPG.rf.d30a08dd18ae37d8694c0d8e4f22672a.jpg,3120,3120,6,tDE03,茶餅病
2772_JPG.rf.7049c09cc16456e53e5a8f138006325d.jpg,3024,4032,11,tDS07,煤煙病
3218_JPG.rf.f2bb6c00f99badb721726fafcd2d7613.jpg,3024,4032,8,tDM04,茶髮狀病
7621_JPG.rf.165de4aca48696bb88e553f410d67624.jpg,4032,3024,6,tDE03,茶餅病
2029_JPG.rf.3351b89fc34a00e31fbce635b886986b.jpg,3120,3120,7,tDL09,地衣
7601_JPG.rf.3f7c79a7d17320f3f6cd4e3d6daab3d7.jpg,4032,3024,6,tDE03,茶餅病
24362_JPG.rf.13a0552f5ed82095f7bcccd8fd80cdf8.jpg,3468,4624,5,tDE02,網餅病
6689_JPG.rf.95529850277c95f7604293d620d968bd.jpg,3468,4624,6,tDE03,茶餅病
33621_JPG.rf.92489c923ebc7ec9d65be7d3264bedfc.jpg,3024,4032,11,tDS07,煤煙病
223_JPG.rf.98b5168dafeb7e93e0c10c75acef919f.jpg,3480,4640,10,tDP06,輪班病
5139_JPG.rf.dc86fec0d681cca444c5e82521a6bab3.jpg,3024,4032,8,tDM04,茶髮狀病
5343_JPG.rf.9a8d97c08b5ccb3450a7e9aed08c0f1a.jpg,4032,3024,8,tDM04,茶髮狀病
6753_JPG.rf.1562333335f860f604e5087b5afcd9e4.jpg,3024,4032,6,tDE03,茶餅病
3468_JPG.rf.fd50f2ca3597e19beb1f9440d66d3788.jpg,4032,3024,6,tDE03,茶餅病
7289_JPG.rf.290a08dc2f06bdaea3f6bc131fe1541d.jpg,3120,3120,6,tDE03,茶餅病
2948_JPG.rf.b2e57721ad822876d48edb664328894b.jpg,3024,4032,8,tDM04,茶髮狀病
7579_JPG.rf.89579e6fd8530d71540b9c82b3bb4bb2.jpg,3024,4032,6,tDE03,茶餅病
22457_JPG.rf.c75df77648ba532f967dbc92ba2ae255.jpg,3024,3024,10,tDP06,輪班病
7736_JPG.rf.24ec624ba09885d031898ddeb3e54f8c.jpg,4032,3024,6,tDE03,茶餅病
7553_JPG.rf.0503c96dabb42f3c3094ad7e8ae69c23.jpg,4032,3024,6,tDE03,茶餅病
24979_JPG.rf.b3b749532d6c16999ac658515c66a4ec.jpg,3024,4032,7,tDL09,地衣
1830_JPG.rf.e251f5c01d2f31e97e29ce78a6de19e7.jpg,3024,4032,10,tDP06,輪班病
25019_JPG.rf.8efc067c54c47a602d1d7ce71e0d1cf6.jpg,3024,3024,7,tDL09,地衣
24085_JPG.rf.cd7fbe79e636f7d9e5e4ba5d644a5aee.jpg,3468,4624,5,tDE02,網餅病
1812_JPG.rf.2fb335d26bd5ceeb0daa0f271dfbe739.jpg,3024,4032,10,tDP06,輪班病
5236_JPG.rf.0381a9ecf79abf725f6b01ed680913b9.jpg,3120,3120,8,tDM04,茶髮狀病
3197_JPG.rf.339713272ebe26e1551463096328f220.jpg,3024,4032,8,tDM04,茶髮狀病
1771_JPG.rf.3dc539e35ce9f50aee105f40c6c05133.jpg,3024,4032,4,tDD11,枝枯病
1945_JPG.rf.564df477c92bf49b2ea17cc8462ec494.jpg,1478,1108,3,tDC08,藻斑病
55_JPG.rf.aec60043c190cabbac0cbbda09917c89.jpg,1534,1424,2,tDC01,赤葉枯病
22454_JPG.rf.a11978a26e171f3c2b8cbf0ae087cc07.jpg,3024,4032,10,tDP06,輪班病
6680_JPG.rf.f3bac6a72b87fcc1944248248b0187f1.jpg,3468,4624,6,tDE03,茶餅病
2771_JPG.rf.ce5188611b351c20f686d2b5db784650.jpg,3024,4032,3,tDC08,藻斑病
1989_JPG.rf.caaca7f2b8c48e2e7b76b010c1b17b4e.jpg,3480,4640,2,tDC01,赤葉枯病
3274_JPG.rf.c5fd0d68f221efe62b0e05baf36af815.jpg,3024,4032,8,tDM04,茶髮狀病
7341_JPG.rf.291e9b599162d70460bed956dd90799b.jpg,3120,3120,6,tDE03,茶餅病
2973_JPG.rf.86fddc732c39e7851fb97f3bd23a27b7.jpg,3024,4032,8,tDM04,茶髮狀病
7175_JPG.rf.4c84126bf0bf39e646d5b2c2d57bb090.jpg,4032,3024,6,tDE03,茶餅病
1801_JPG.rf.59166ae72e1e41bd2cb3929911a3930d.jpg,2048,1365,2,tDC01,赤葉枯病
5328_JPG.rf.d25a2e7deae1d1979b62c2c93c903f16.jpg,3120,3120,8,tDM04,茶髮狀病
3633_JPG.rf.3cf6e929f6160783f676212395aafedb.jpg,3024,4032,6,tDE03,茶餅病
3354_JPG.rf.4187e00f37aef73a1e0c12d6cafc68c0.jpg,3120,3120,10,tDP06,輪班病
6741_JPG.rf.2a4fdb0472d731ee2163b1f389b0e0d0.jpg,4032,3024,6,tDE03,茶餅病
2952_JPG.rf.4b0b4172b30f7e57f06919bbfc8c269e.jpg,3024,4032,8,tDM04,茶髮狀病
